Date,Time,Title,Buy-in Per Player,Platforms,Team Size,Tournament Type (Ex: Single Elimination),Players in Match,Number of Teams Registered,Series Type (Ex: Best of 3),Prize Pool,Profit
"February 6, 2023",8:54 AM,1v1 *SCAR ONLY* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 1,$9,
"February 6, 2023",8:28 AM,2v2 $40 GTD 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$40,
"February 6, 2023",6:30 AM,2v2 $50 GTD 1ND *FORTRESS ONLY* SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$50,
"February 6, 2023",5:20 AM,3v3 $75 GTD 1ND SND,$7,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$75,
"February 6, 2023",4:25 AM,2v2 1ND *VAZNEZ ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$38,
"February 6, 2023",3:26 AM,3v3 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$24,
"February 6, 2023",2:52 AM,4v4 *NO 2023 WINNERS* VARIANT,$6,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,11,Best of 3,$220,
"February 6, 2023",2:26 AM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$100,
"February 6, 2023",2:00 AM,2v2 $60 GTD CONSOLE SND,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$60,
"February 6, 2023",1:22 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$12,
"February 5, 2023",11:30 PM,2v2 $100 GTD 1ND NOV/AM KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$100,
"February 5, 2023",10:56 PM,4v4 DOUBLE ELIM VARIANT,$5,"['xbox', 'playstation', 'battle.net']",4,double elimination,4v4,2,Best of 3,$44,
"February 5, 2023",9:56 PM,1v1 $50 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,5,Best of 1,$50,
"February 5, 2023",8:30 PM,1v1 $20 GTD CONSOLE SND,$5,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,4,Best of 3,$20,
"February 5, 2023",8:10 PM,3v3 $15 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,10,Best of 1,$15,
"February 5, 2023",7:55 PM,2v2 AR/SMG SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,8,Best of 3,$44,
"February 5, 2023",8:50 AM,1v1 *SCAR ONLY* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,5,Best of 1,$14,
"February 5, 2023",8:33 AM,2v2 $40 GTD 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$40,
"February 5, 2023",7:20 AM,3v3 1ND SND *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$33,
"February 5, 2023",4:30 AM,2v2 $50 GTD 1ND *VAZNEZ ONLY* SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$50,
"February 5, 2023",3:00 AM,2v2 $150 GTD 1ND NOV/AM KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$150,
"February 5, 2023",2:53 AM,4v4 *NO ABEZYS* *DOLLAR ENTRY* 1ND HP,$1,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,9,Best of 1,$28,
"March 4, 2023",9:15 PM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 1,$9,
"March 4, 2023",7:30 PM,3v3 $15 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,11,Best of 1,$15,
"March 4, 2023",8:00 AM,3v3 $306 switcheroo,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$306,
"March 4, 2023",7:20 AM,1v1 CONSOLE 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$7,
"March 4, 2023",6:20 AM,2v2 $50 GTD 1ND *FORTRESS ONLY* SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$50,
"March 4, 2023",5:00 AM,2v2 $50 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$50,
"March 3, 2023",11:16 PM,2v2 $10 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,8,Best of 1,$10,
"March 3, 2023",9:56 PM,1v1 $50 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 1,$50,
"March 3, 2023",8:00 AM,$159 bo3 switch,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$159,
"March 3, 2023",7:20 AM,1v1 CONSOLE 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 1,$9,
"March 3, 2023",4:58 AM,2v2 $50 GTD 1ND AR/SMG SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,1,Best of 1,$30,
"March 3, 2023",3:51 AM,3v3 $78 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$78,
"March 3, 2023",2:53 AM,1v1 $50 GTD NOV/AM 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,6,Best of 1,$50,
"March 3, 2023",1:55 AM,4v4 DOUBLE ELIM MWII SND *CDL + GAs*,$6,"['xbox', 'playstation', 'battle.net']",4,double elimination,4v4,4,Best of 3,$68,
"March 3, 2023",12:26 AM,2v2 $40 GTD SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 3,$40,
"March 2, 2023",10:20 PM,2v2 $50 GTD 1ND AR/SMG SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$50,
"March 2, 2023",9:25 PM,3v3 $15 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,7,Best of 1,$15,
"March 2, 2023",5:58 AM,3v3 $50 GTD 1ND *NO SNIPES* SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 1,$48,
"March 2, 2023",4:26 AM,2v2 $60 GTD 1ND AR/SMG SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$60,
"March 2, 2023",2:58 AM,2v2 $75 GTD NOV/AM SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$74,
"March 2, 2023",1:58 AM,2v2 $60 GTD CONSOLE NOV/AM SND,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$60,
"March 2, 2023",12:27 AM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$100,
"March 1, 2023",11:00 PM,1v1 $50 GTD 1ND NOV/AM KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,5,Best of 1,$50,
"March 1, 2023",10:30 PM,3v3 1ND *DOLLAR ENTRY* SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$9,
"March 1, 2023",8:00 AM,4v4 $200 switch,$0,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,2,Best of 1,$200,
"March 1, 2023",7:20 AM,1v1 CONSOLE 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 1,$9,
"March 1, 2023",4:55 AM,3v3 $50 GTD 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$51,
"March 1, 2023",1:25 AM,4v4 VARIANT,$5,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,3,Best of 3,$56,
